Symbol,Name,"Wtd Alpha",Rank,"Prev Rank",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
TRMDA.C.DX,"Torm Plc",+224.89,1,N/A,135.2,-5.7,-4.05%,142.1,41.78,+171.16%,2022-08-15
SHLF.O.DX,"Shelf Drilling Ltd",+209.30,2,N/A,15.18,-0.36,-2.32%,24.5,3.78,+236.96%,2022-08-15
ONCO.S.DX,"Oncopeptides Ab",+206.73,3,N/A,44.025,-1.875,-4.08%,54.7,3.416,+16.16%,2022-08-15
HAFNI.O.DX,"Hafnia Ltd",+178.46,4,N/A,39.8,-0.9,-2.21%,43.3,14.84,+160.13%,2022-08-15
IPCO.S.DX,"International Petroleum Corp/Sweden",+172.14,5,7,103.9,-2.1,-1.98%,128.4,34.22,+172.27%,2022-08-15
ES.FP,Esso,+166.91,6,N/A,52,-1.6,-2.99%,72.6,10.45,+385.98%,2022-08-14
ALCOG.FP,Cogra,+160.06,7,N/A,17.8,0.8,+4.71%,18.8,6.74,+160.23%,2022-08-14
FLNG.O.DX,"Flex Lng Ltd",+157.63,8,12,329.6,1,+0.30%,339.4,122,+157.50%,2022-08-15
BORR.O.DX,"Borr Drilling Ltd",+152.97,9,N/A,35.847,-2.433,-6.36%,66.385,5.235,+505.52%,2022-08-15
NOR.O.DX,"Norwegian Energy CO ASA",+151.62,11,N/A,319,-7,-2.15%,480.5,132.5,+130.49%,2022-08-15
VSSAB.S.DX,"Viking Supply Ships Ab",+151.06,10,N/A,122,5,+4.27%,139,32.3,+204.24%,2022-08-15
PNE3.D.DX,"Pne Ag",+148.37,12,N/A,16.56,0.44,+2.73%,16.7,6.86,+128.73%,2022-08-15
EURN.BB,Euronav,+133.53,13,N/A,15.26,-0.13,-0.84%,15.63,6.468,+135.86%,2022-08-15
MAU.FP,"Maurel Et Prom",+126.90,14,18,4.535,-0.105,-2.26%,5.64,1.812,+134.00%,2022-08-14
NSKOG.O.DX,"Norske Skog ASA",+121.85,15,N/A,69.85,0.05,+0.07%,73.55,31.1,+111.67%,2022-08-15
SESL.FP,"Ses Imagotag",+121.41,16,21,102.8,0.6,+0.59%,103.4,44.05,+121.55%,2022-08-14
GVOLT.PL,"Greenvolt Energias Renovveis S.A.",+119.07,18,N/A,10.22,0.48,+4.93%,10.22,4.695,+116.53%,2022-08-14
HTRO.S.DX,"Hexatronic Group Ab",+118.15,17,16,113.3,3.525,+3.21%,125.4,42.75,+160.46%,2022-08-15
DNORD.C.DX,"D/S Norden A/S",+109.64,19,35,334,-10.2,-2.96%,357.4,136.2,+79.09%,2022-08-15
FDE.FP,"Francaise Energie",+104.75,20,N/A,62.9,0.2,+0.32%,65.9,30.6,N/A,2022-08-14
OET.O.DX,"Okeanis Eco Tankers Corp",+102.49,21,N/A,138.4,-0.4,-0.29%,141.8,68.8,+87.28%,2022-08-15
AKSO.O.DX,"Aker Solutions ASA",+99.09,22,33,33.16,-0.6,-1.78%,37.84,14.695,+116.38%,2022-08-15
GTT.FP,Gtt,+96.63,24,N/A,132.2,0.9,+0.69%,138.5,61.95,+91.59%,2022-08-14
ALNG.O.DX,"Awilco Lng As",+96.04,23,34,6.18,0.21,+3.52%,7.69,2.18,+183.49%,2022-08-15
OCI.NA,Oci,+93.05,26,N/A,37,0.28,+0.76%,40.16,18.22,+88.78%,2022-08-14
EXM.BB,Exmar,+92.47,25,N/A,8.46,0.1,+1.20%,8.8,3.48,+130.52%,2022-08-15
HANZA.S.DX,"Hanza Holding Ab",+91.38,27,N/A,55.1,0.8,+1.47%,70.2,18.975,+190.38%,2022-08-15
WAWI.O.DX,"Wallenius Wilhelmsen ASA",+90.76,28,28,74.575,-0.175,-0.23%,77.4,30.5,+125.57%,2022-08-15
SNI.O.DX,"Stolt-Nielsen Ltd",+90.14,29,N/A,215.25,-1.75,-0.81%,222,107,+78.19%,2022-08-15
MBWS.FP,Mbws,+87.35,31,N/A,2.4,-0.01,-0.41%,2.72,1.11,+86.77%,2022-08-14
STOCK.H.DX,"Stockmann Oyj Abp",+85.84,30,N/A,2.885,-0.13,-4.31%,3.253,1.415,+73.59%,2022-08-15
PGS.O.DX,"Pgs ASA",+85.55,32,N/A,6.87,0.01,+0.15%,8.77,1.271,+62.57%,2022-08-15
EQNR.O.DX,"Equinor ASA",+84.14,33,N/A,351.75,-6.55,-1.83%,373.775,178.8,+88.63%,2022-08-15
SXLE.NA,"SPDR US Energy",+83.66,34,N/A,26.743,-0.171,-0.64%,30.616,13.239,+85.30%,2022-08-14
